日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
107/04/02,"16,141,662","397,559,933",25,25.05,24.3,24.55,-0.35,"5,498"
107/04/03,"41,882,278","1,014,229,802",24.35,24.35,23.95,24,-0.55,"9,887"
107/04/09,"21,828,941","520,461,956",24.5,24.5,23.7,23.7,-0.3,"7,553"
107/04/10,"24,871,211","593,424,793",23.85,24.15,23.7,23.7,0,"5,754"
107/04/11,"12,600,639","302,611,012",24.1,24.25,23.85,23.95,0.25,"4,042"
107/04/12,"22,087,559","533,420,090",24.3,24.35,24,24.1,0.15,"6,974"
107/04/13,"15,946,576","381,150,974",24.15,24.2,23.8,23.8,-0.3,"5,527"
107/04/16,"8,718,152","207,548,881",23.8,24.05,23.65,23.7,-0.1,"3,499"
107/04/17,"15,329,064","368,243,772",23.85,24.3,23.5,24.25,0.55,"5,421"
107/04/18,"15,721,610","378,590,574",24.4,24.4,23.85,23.85,-0.4,"5,432"
107/04/19,"10,951,126","263,782,366",23.9,24.25,23.85,24.25,0.4,"3,694"
107/04/20,"12,815,263","307,008,562",24.2,24.2,23.85,23.9,-0.35,"3,267"
107/04/23,"6,400,134","153,829,401",23.95,24.15,23.9,24.1,0.2,"2,571"
107/04/24,"11,893,211","283,541,199",24.2,24.25,23.7,23.7,-0.4,"4,217"
107/04/25,"23,643,640","559,243,556",23.6,23.9,23.45,23.5,-0.2,"5,089"
107/04/26,"18,452,981","436,800,369",23.7,23.85,23.5,23.6,0.1,"4,807"
107/04/27,"15,390,003","361,665,340",23.7,23.75,23.3,23.65,0.05,"5,062"
107/04/30,"11,401,464","270,035,753",23.65,23.8,23.55,23.7,0.05,"2,883"
