日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,ROI
2019/5/2,12515755,"321,060,452",25.55,25.9,25.45,25.55,-0.05,4619,0
2019/5/3,6331894,"162,006,195",25.6,25.75,25.45,25.65,0.1,3435,0.003913894
2019/5/6,13665185,"341,979,208",25.3,25.3,24.9,24.9,-0.75,5630,-0.029239766
2019/5/7,10374072,"262,146,309",24.9,25.5,24.9,25.5,0.6,4865,0.024096386
2019/5/8,9472745,"239,624,185",25.1,25.5,25,25.45,-0.05,4635,-0.001960784
2019/5/9,16063448,"398,788,829",25.15,25.3,24.55,24.55,-0.9,6494,-0.035363458
2019/5/10,12545546,"307,571,499",24.55,24.95,24.15,24.55,0,4546,0
2019/5/13,28371782,"662,009,586",23.95,23.95,23.05,23.05,-1.5,9648,-0.061099796
2019/5/14,24992945,"572,091,461",22.4,23.45,22.1,23.2,0.15,8770,0.006507592
2019/5/15,10531138,"247,567,068",23.2,23.65,23.2,23.5,0.3,4858,0.012931034
2019/5/16,15573374,"358,498,058",23.4,23.4,22.8,23,-0.5,5362,-0.021276596
2019/5/17,14477285,"328,331,191",22.95,23.1,22.5,22.55,-0.45,5272,-0.019565217
2019/5/20,7878491,"178,794,657",22.6,22.8,22.6,22.65,0.1,2949,0.00443459
2019/5/21,201999889,"249,965,907",22.65,23.15,22.55,22.95,0.3,4295,0.013245033
2019/5/22,4679702,"107,025,946",22.8,22.95,22.7,22.95,0,2361,0
2019/5/23,9720601,"223,037,627",22.9,23.15,22.75,23.1,0.15,3709,0.006535948
2019/5/24,11400981,"264,574,913",23.3,23.4,22.85,22.95,-0.15,3853,-0.006493506
2019/5/27,5911236,"136,356,234",23,23.25,22.85,23.05,0.1,2509,0.004357298
2019/5/28,18127915,"427,261,538",23.3,23.8,23.05,23.8,0.75,3656,0.032537961
2019/5/29,12201884,"283,395,599",23.5,23.55,23.1,23.1,-0.7,4047,-0.029411765
2019/5/30,6028557,"141,099,631",23.1,23.6,23.1,23.4,0.3,2914,0.012987013
2019/5/31,53248214,"1,187,149,745",23.05,23.15,21.75,22.5,-0.9,17743,-0.038461538
